vOTU,AI05,AI15,AI20,AI28,AI40,AII05,AII15,AII20,AII28,AII40,AIII05,AIII15,AIII20,AIII28,AIII40
NODE_1411_length_7123_cov_9_07145,0,0,32.32795801,9.200405779,0,0,0,30.68447093,21.50982095,0,0,0,30.56772093,5.765658279,0
NODE_79_length_40638_cov_15_6324,0,0,56.60517937,0,0,0,0,11.70663464,0,0,0,0,14.23550902,0,0
NODE_182_length_23123_cov_9_25074,0,0,0,45.79604966,18.73291471,0,0,0,50.82607821,17.31578344,0,0,0,0,13.66105909
NODE_22_length_48325_cov_8_33095,0,0,0,40.95553767,0,0,0,0,76.77265074,0,0,0,0,16.98947306,0
NODE_175_length_19586_cov_12_4277,0,41265.31592,100.9092332,45.52141068,67.83127989,0,4338.739943,117.9752466,75.31245402,74.18081626,0,4716.475739,146.6588488,49.93060069,53.46580633
NODE_37_length_19004_cov_14_3757,286.8789321,0,0,0,0,40.09415938,0,0,0,0,31.2441186,0,0,0,0
NODE_49_length_16287_cov_22_5285,431.9144832,0,0,0,0,52.79512799,0,0,0,0,39.91422934,0,0,0,0
NODE_135_length_8613_cov_8_63064,169.3238012,0,0,0,0,13.13150992,0,0,0,0,11.20770413,0,0,0,0
NODE_657_length_9356_cov_9_49446,0,61.55115679,84.98277592,18.29782194,12.27459129,0,56.97960139,89.90840831,28.97928879,9.800733427,0,62.06393224,100.7888753,14.0682062,7.507035664
NODE_538_length_10130_cov_5_3996,0,0,22.80208639,0,0,0,0,25.88547785,8.031081972,0,0,0,26.44788369,0,0
NODE_1322_length_5335_cov_4_05606,0,0,15.10138178,0,0,0,0,20.7956367,0,0,0,0,14.19872476,0,0
NODE_2735_length_3272_cov_33_0249,0,0,81.83248767,0,7.742434508,0,0,167.7829779,0,10.49336476,0,0,213.6062039,0,0
NODE_23_length_49326_cov_15_523,0,0,0,62.8579962,6.420555446,0,0,0,125.8015638,6.649260841,0,0,0,49.62309892,0
NODE_794_length_9765_cov_21_5191,0,0,42.40387996,82.28870393,0,0,0,42.46381759,153.2644944,0,0,0,49.18055702,97.67025124,0
NODE_90_length_35868_cov_5_84492,0,0,0,24.13390023,0,0,0,0,47.119425,0,0,0,0,20.37199258,0
NODE_240_length_20063_cov_6_43947,0,0,5.700521598,30.55358636,25.00239827,0,0,0,52.1177907,28.95198991,0,0,0,32.32612408,18.85488027
NODE_178_length_23575_cov_16_8478,0,0,0,5.218140591,92.68260626,0,0,0,8.817341746,82.31923448,0,0,0,7.956608425,83.75582232
NODE_11_length_56082_cov_8_52261,0,0,0,427.750209,34.44439157,0,0,0,839.3884696,42.80461666,0,0,0,401.1360653,31.46844601
NODE_655_length_11622_cov_15_5657,0,0,31.70290082,91.45477983,74.17629939,0,0,22.54072509,160.6778009,77.29765728,0,0,23.06373168,77.29825866,69.30914322
NODE_184_length_29990_cov_76_6052,40.38789029,0,0,0,0,599.4749549,0,0,0,0,454.3349496,18.64472038,0,0,0
NODE_1483_length_4897_cov_4_0729,0,0,7.600695464,0,0,0,0,14.6151153,0,0,0,0,21.33487141,0,0
NODE_777_length_7822_cov_10_5355,0,0,39.10357798,0,0,0,0,41.11864529,0,0,0,0,55.54423418,0,0
NODE_136_length_26383_cov_24_7811,0,0,0,40.71522856,0,0,0,0,72.56054481,5.506419134,0,0,0,133.4173326,0
NODE_67_length_39205_cov_11_4463,0,0,0,40.57790907,0,0,0,0,47.40023206,0,0,0,0,63.88349373,0
NODE_134_length_26600_cov_8_99748,0,0,0,69.34634207,0,0,0,0,151.2426836,0,0,0,0,49.77684981,0
NODE_223_length_19578_cov_10_5233,0,0,0,114.0095059,23.07623163,0,0,0,255.759072,26.83946433,0,0,0,58.19471089,18.20019693
NODE_92_length_25077_cov_36_4605,0,0,172.2157577,823.3676575,293.30608,0,0,63.65937038,1548.819431,323.8744135,0,0,65.25527909,656.285663,225.6475255
NODE_2259_length_4150_cov_8_45177,0,0,0,0,79.53935158,0,0,0,0,95.47922989,0,0,0,0,51.93821186
NODE_1552_length_5221_cov_7_80798,0,0,0,22.6920456,53.02623439,0,0,0,28.69848173,74.83881603,0,0,0,23.25482172,48.57750403
NODE_364_length_17766_cov_5_5767,318.9394223,0,0,0,0,50.96532743,0,0,0,0,42.18749009,0,0,0,0
NODE_310_length_4031_cov_4_21454,0,96.5541498,0,0,0,0,0,0,0,0,0,0,0,0,0
NODE_61_length_13489_cov_6_98578,0,171.9712265,0,0,0,0,259.4802232,0,0,0,0,207.9652544,0,0,0
NODE_146_length_7084_cov_8_41386,0,197.6739074,4.300393486,0,0,0,1248.711752,11.12493851,0,0,0,936.2586814,13.20554972,0,0
NODE_121_length_8234_cov_8_55691,0,131.0498531,0,0,0,0,14.56051852,0,0,0,0,16.66531514,0,0,0
NODE_93_length_9953_cov_6_0101,0,146.7758354,0,0,0,0,20.66246993,0,0,0,0,19.2832382,0,0,0
NODE_86_length_10292_cov_12_2104,0,123.1023136,65.3059755,5.080821102,0,0,19.82082146,75.18422498,7.806436323,0,0,19.47479355,56.53740923,7.110978544,0
NODE_199_length_5752_cov_3_96647,0,95.53957029,0,0,0,0,24.15531108,0,0,0,0,0,0,0,0
NODE_241_length_5114_cov_6_69895,0,119.7203819,30.12775669,0,0,0,307.664598,27.92141431,0,0,0,245.8293612,36.26928139,0,0
NODE_164_length_6608_cov_4_36243,0,102.6416268,0,0,0,0,0,0,0,0,0,0,0,0,0
NODE_329_length_3855_cov_5_31158,0,130.2043701,0,0,0,0,603.3357054,5.671537281,0,0,0,417.0798409,6.290108639,0,0
NODE_200_length_5749_cov_4_15209,0,100.2742747,0,0,0,0,12.66680947,4.290008969,0,0,0,12.64265286,0,0,0
NODE_273_length_4503_cov_3_0607,24.98220018,74.74069039,0,0,0,0,8.121907731,0,0,0,0,11.94028326,0,0,0
NODE_758_length_2091_cov_2_24804,0,53.43452073,0,0,0,0,9.6789574,0,0,0,0,0,0,0,0
NODE_384_length_3441_cov_6_95481,0,133.2481087,33.50306553,0,0,0,242.0160174,31.04803101,0,0,0,167.1639656,52.04972938,0,0
NODE_105_length_9087_cov_7_05004,892.5584965,148.1286081,0,0,0,125.5027915,16.03340334,0,0,0,119.6898215,28.92485731,0,0,0
NODE_45_length_15988_cov_13_9411,0,184.1461806,0,0,0,0,583.8094609,4.653569051,0,0,0,527.7988311,8.313242996,0,0
NODE_207_length_5658_cov_9_99036,0,240.2862467,245.6474767,0,0,0,351.0515766,238.7135499,0,5.402524433,0,287.205316,251.9354039,0,0
NODE_250_length_4960_cov_4_59123,0,83.19551962,11.55105692,0,0,0,12.70889189,0,0,0,0,14.68590989,10.52029866,0,0
NODE_245_length_5031_cov_41_998,1927.237954,681.6283325,0,0,0,141.7557259,52.09804026,0,0,0,114.0331029,76.94139747,0,0,0
NODE_252_length_4941_cov_6_31355,0,145.7612559,19.67680043,0,0,0,31.68806488,12.36104279,0,0,0,25.60456464,17.95071939,0,0
NODE_349_length_3724_cov_4_78795,0,113.971098,236.72166,0,0,0,743.0072689,170.6551025,0,0,0,533.2262326,195.9865428,0,0
NODE_104_length_9218_cov_5_77955,30.53380022,142.5484208,0,0,0,0,11.40433676,0,0,0,0,9.897026231,0,0,0
NODE_165_length_6601_cov_7_74305,0,117.8603195,5.500503296,0,0,0,207.0455235,6.544081478,0,0,0,180.3174328,9.637476394,0,0
NODE_244_length_5067_cov_3_45251,0,82.01184352,0,0,0,0,0,0,0,0,0,0,0,0,0
NODE_172_length_6441_cov_3_81976,0,89.45209325,0,0,0,0,0,0,0,0,0,0,0,0,0
NODE_28_length_20516_cov_13_8826,10052.00461,298.9627616,39.40360543,9.887003225,7.213682883,1763.389566,41.28285743,26.28539394,16.96074654,7.584313147,1453.723813,61.42541441,33.10583494,0,0
NODE_539_length_2682_cov_6_99163,0,51.06716855,0,0,0,0,128.0568146,6.253233412,0,0,0,80.00628302,9.048928217,0,0
NODE_236_length_5163_cov_6_0139,0,87.7611274,5.075464405,0,0,0,252.4945409,7.961965798,0,0,0,166.3338925,14.67692016,0,0
NODE_772_length_2066_cov_11_184,0,127.6679214,96.80885801,0,0,0,239.9539787,83.58246288,0,0,0,206.1135527,96.66903803,0,0
NODE_328_length_3873_cov_3_67287,24.42704018,88.60661032,0,0,0,0,7.280259261,0,0,0,0,11.23791366,0,0,0
NODE_103_length_9240_cov_8_34545,0,200.0412596,2180.849548,30.07296814,0,0,530.7856073,1579.850337,56.04908957,7.722839414,0,387.8995765,1623.767635,12.45382188,0
NODE_109_length_8995_cov_3_26868,0,63.91850897,17.02655793,6.762984845,0,0,13.84511732,22.86792917,10.50218412,0,0,0,48.18738197,0,0
NODE_100_length_9498_cov_54_3159,0,898.0719607,0,0,0,0,3604.443736,0,0,0,0,2473.171077,0,0,0
NODE_4_length_38092_cov_349_776,0,7728.052109,690.9132186,236.0865319,258.6728485,0,1078.698761,676.2581088,440.7547645,295.2341077,0,947.6242987,773.7937153,235.7769859,202.4280896
NODE_284_length_4347_cov_4_53658,0,109.2363936,2.875263087,0,0,0,624.8819062,5.526113248,0,0,0,446.2601053,5.738344723,0,0
NODE_590_length_2502_cov_6_58112,0,113.4638083,1715.08193,27.01760951,0,0,367.5058042,1218.689751,52.73556624,5.263998166,0,269.2629653,1243.197671,0,0
NODE_76_length_11230_cov_7_84761,0,189.8954645,4.050370609,0,0,0,1230.995052,11.56121061,0,0,0,885.2411075,10.52029866,0,0
NODE_205_length_5707_cov_9_20524,0,201.5631288,0,0,0,0,19.82082146,0,0,0,0,21.26264345,5.664776201,0,0
NODE_266_length_4592_cov_89_0701,0,1484.32982,336.655804,0,0,0,6893.732202,537.2690894,0,0,0,4414.584513,938.8446946,0,0
NODE_161_length_6663_cov_31_7618,0,519.9719976,25.92737235,0,0,0,435.3005884,33.41117155,0,0,0,359.4855334,32.07587563,0,0
NODE_203_length_5718_cov_25_3062,0,390.1058206,135.9874429,7.14061344,0,0,724.2805905,138.2255432,14.26499875,0,0,608.8267427,175.9391206,0,0
NODE_352_length_3700_cov_4_24527,0,100.6124678,0,0,0,0,644.4502331,5.598825265,0,0,0,443.0036645,6.474029944,0,0
NODE_409_length_3254_cov_4_3473,0,103.4871098,0,0,0,0,0,0,0,0,0,0,0,0,0
NODE_238_length_5158_cov_4_91456,0,119.0439955,0,0,0,0,614.1088058,5.08984115,0,0,0,429.5309384,6.768304032,0,0
NODE_190_length_5892_cov_3_60202,0,86.40835472,0,0,0,0,5.639044746,0,0,0,0,0,0,0,0
NODE_186_length_5949_cov_4_59094,0,77.10804257,0,0,0,0,62.1978219,0,0,0,0,42.5252869,6.69473551,0,0
NODE_787_length_11028_cov_9_46387,0,0,34.00311128,0,0,0,0,14.90596337,0,0,0,0,14.75048868,0,0
NODE_4180_length_3090_cov_1_98418,0,0,7.350672587,0,0,0,0,5.307977199,0,0,0,0,7.39363647,0,0
NODE_2142_length_5106_cov_5_97981,0,0,14.70134517,0,0,0,0,9.743410201,0,0,0,0,8.717869868,0,0
NODE_678_length_12079_cov_4_92906,0,0,9.800896782,0,0,0,0,9.925190242,0,0,0,0,11.43990518,0,0
NODE_1127_length_8423_cov_5_48004,0,0,19.62679585,9.543704502,0,0,0,15.63308353,16.34297101,0,0,0,15.85401651,5.189092451,0
NODE_1114_length_8481_cov_3_66354,0,0,13.45123079,0,0,0,0,11.67027864,0,0,0,0,11.10884684,0,0
NODE_2244_length_4962_cov_3_85653,0,0,14.25130399,0,0,0,0,11.4884986,0,0,0,0,10.59386718,0,0
NODE_5793_length_2452_cov_2_20651,0,0,8.050736642,0,0,0,0,0,0,0,0,0,0,0,0
NODE_1695_length_6108_cov_3_16901,0,0,11.30103404,0,0,0,0,0,0,0,0,0,20.81989175,0,0
NODE_2861_length_4147_cov_6_65714,0,0,21.3519537,0,0,0,0,14.54240328,0,0,0,0,14.8240572,0,0
NODE_1611_length_6368_cov_4_78885,0,0,12.72616444,6.042057527,0,0,0,11.41578658,0,0,0,0,16.11150634,9.916932239,0
NODE_5583_length_2519_cov_4_03166,0,0,14.60133602,0,0,0,0,9.379850119,0,0,0,0,12.54343302,0,0
NODE_2132_length_5127_cov_4_37973,0,0,16.00146413,0,0,0,18.05335967,16.03299962,0,0,0,17.81464722,26.631805,0,0
NODE_1812_length_5818_cov_4_85806,0,0,17.15156937,8.513808333,0,0,0,16.76011979,13.53490039,11.91325901,0,0,27.07321613,9.032864637,0
NODE_1892_length_5633_cov_5_60667,0,0,19.85181644,0,0,0,0,13.05180695,0,0,0,0,17.28860269,0,0
NODE_2923_length_4066_cov_4_10845,0,0,15.37640694,0,0,0,0,15.74215156,0,0,0,0,19.45887409,0,0
NODE_1552_length_6547_cov_5_89618,0,0,25.55233804,0,0,0,30.67808671,28.43039842,0,0,0,31.28737325,22.99016315,0,0
NODE_1851_length_5726_cov_13_045,0,0,44.80409958,0,0,0,22.55617898,16.3965597,0,0,0,17.49538831,21.07738158,0,0
NODE_3990_length_3206_cov_2_85306,0,0,9.975912796,0,0,0,0,0,0,0,0,0,6.768304032,0,0
NODE_1996_length_5416_cov_5_59448,0,0,19.42677755,156.1665891,21.75435257,0,0,11.41578658,203.2481514,26.07756986,0,0,9.563907872,179.1197839,14.09751465
NODE_3527_length_3539_cov_19_3396,0,0,53.05485452,8.445148588,0,0,0,34.42913978,9.547440107,0,0,0,41.27194089,0,0
NODE_2964_length_4029_cov_3_05133,0,0,10.92599973,6.83164459,0,0,0,6.325945429,0,0,0,0,6.032618811,4.95846612,0
NODE_4879_length_2761_cov_3_29675,0,0,12.50114385,7.071953696,5.06090841,0,0,10.39781835,16.06216394,5.125471898,0,0,10.11567179,7.802857537,0
NODE_4236_length_3056_cov_9_78774,0,0,19.22675925,0,0,0,0,10.47053037,0,0,0,0,14.08837198,0,0
NODE_2258_length_4934_cov_6_09285,0,0,12.77616902,10.71092016,0,0,0,4.108228928,16.62377807,0,0,0,5.076228024,0,0
NODE_3724_length_3382_cov_58_9062,0,0,99.20907763,53.07398259,0,0,0,39.00999681,91.48694079,7.99989195,0,0,28.39744953,42.16618088,0
NODE_780_length_11114_cov_38_1497,0,0,93.28353544,8.376488844,0,0,0,68.82192355,15.27590417,0,0,0,73.78922766,6.995665378,0
NODE_1793_length_5861_cov_51_979,0,0,166.6652499,251.2946653,0,0,0,84.5640751,411.2700229,7.341892179,0,0,96.66903803,178.2357163,0
NODE_2029_length_5349_cov_5_35871,0,0,19.35177069,0,0,0,0,9.852478225,0,0,0,0,10.29959309,0,0
NODE_1672_length_6169_cov_4_20281,0,0,16.65152361,0,0,0,18.68459602,15.56037151,0,0,0,15.45213128,23.24765298,0,0
NODE_507_length_14493_cov_4_92928,0,0,17.65161512,6.38535625,0,0,0,13.48807905,10.55834553,0,0,0,12.91127563,5.765658279,0
NODE_3906_length_3252_cov_4_40319,0,0,15.37640694,10.43628118,0,0,0,0,26.95747795,5.3332613,0,0,0,9.916932239,4.713720068
NODE_1037_length_8998_cov_3_84737,0,0,14.50132687,0,0,0,0,10.97951448,0,0,0,0,12.06523762,0,0
NODE_973_length_9437_cov_10_1293,0,0,33.22804037,0,0,0,0,35.04719192,0,0,0,0,41.86048907,0,0
NODE_3521_length_3543_cov_5_84834,0,0,22.5770658,0,8.120114241,0,12.58264462,17.74173201,0,8.311576051,0,0,23.76263263,0,0
